StartTime,EndTime,Duration_s,AverageLWC_g_m3,Average_meanDiam,AverageLat,AverageLon,AverageAlt,AverageTemp,MaxUpdraft,MeanUpdraft,AbsoluteHumidity,MixingRatio,StaticPres_hPa,InCloud_Flag,HoloData_Flag
09-Jun-2021 21:17:28,09-Jun-2021 21:17:32,5,0.0174832472577691,4.06413335800171,44.8097640991211,-99.3854141235352,1608.41616210937,22.0024120330811,4.13577795028687,3.72024879455566,17.0995998382568,17.713516998291,841.199877929688,No,No
09-Jun-2021 21:21:50,09-Jun-2021 21:21:53,4,0.0110705050756223,3.49989575147629,44.9214162826538,-98.9372978210449,1611.74893188477,21.4825572967529,4.40237236022949,3.86206597089767,29.365339756012,31.0051169395447,841.010864257812,No,No
09-Jun-2021 21:27:27,09-Jun-2021 21:27:31,5,0.00609249863773584,4.63702383041382,44.8933662414551,-98.8311630249023,2098.9646484375,16.7764724731445,4.43847465515137,3.66294536590576,41.3047256469727,46.4782073974609,794.94306640625,No,No
09-Jun-2021 21:43:17,09-Jun-2021 21:43:21,5,0.53254027068615,7.40216550827026,44.9108276367188,-98.7379730224609,4838.4833984375,-3.10131731033325,7.6948561668396,5.27477607727051,4.05285172462463,5.55305986404419,570.859094238281,Yes,Yes
09-Jun-2021 21:43:34,09-Jun-2021 21:43:37,4,1.34128198027611,10.1605143547058,44.9335746765137,-98.7475414276123,4830.70471191406,-0.391491733491421,9.52504920959473,6.63308960199356,5.08747148513794,7.04555642604828,571.846725463867,Yes,Yes
09-Jun-2021 21:43:52,09-Jun-2021 21:43:55,4,0.00382212433032691,1.76124995946884,44.9580354690552,-98.7567024230957,4827.00793457031,0.0732335047796369,5.83575868606567,4.41746383905411,3.67823678255081,5.0849632024765,571.987319946289,No,No
09-Jun-2021 22:08:39,09-Jun-2021 22:08:44,6,0.00732223937908808,4.86365274588267,44.9308179219564,-98.9721450805664,1601.13562011719,22.758189201355,4.98515796661377,4.08325978120168,11.7120560010274,12.0517649650574,841.483489990234,No,No
09-Jun-2021 22:09:18,09-Jun-2021 22:09:21,4,0.0017493795894552,4.84437501430511,44.8867740631104,-98.9780693054199,1600.55737304688,22.6648697853088,4.63830518722534,3.96250820159912,12.0605299472809,12.4053566455841,842.027008056641,No,No
09-Jun-2021 22:09:25,09-Jun-2021 22:09:27,3,0.00348112747694055,1.05833331743876,44.8791122436523,-98.9790903727214,1596.68994140625,22.7414245605469,3.80928015708923,3.51010775566101,11.9379666646322,12.275595664978,842.32421875,No,No
09-Jun-2021 22:21:31,09-Jun-2021 22:21:34,4,0.00340253388276324,4.29999995231628,44.7814254760742,-98.9619483947754,1601.22796630859,22.942054271698,3.92896223068237,3.61903196573257,11.8994019031525,12.256671667099,841.441375732422,No,No
09-Jun-2021 22:27:21,09-Jun-2021 22:27:23,3,0,3.63749996821086,45.0430514017741,-98.8721516927083,1608.11775716146,22.783894220988,3.66970920562744,3.38540983200073,12.5365565617879,12.9295171101888,840.812723795573,No,No
09-Jun-2021 22:32:49,09-Jun-2021 22:32:51,3,0.0044394990739723,5.00933345158895,44.7852910359701,-99.2547556559245,1615.92781575521,22.811559677124,4.69394636154175,4.04577684402466,12.719433148702,13.1356007258097,840.04600016276,No,No
09-Jun-2021 22:37:42,09-Jun-2021 22:37:44,3,0,2.46319444974264,44.5390510559082,-99.5849533081055,1832.79569498698,21.3814322153727,3.78150320053101,3.4514041741689,12.8444118499756,13.540914217631,819.452087402344,No,No
